,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
0,Fungal infection,itching, skin rash, nodal skin eruptions, dischromic _patches
1,Fungal infection, skin rash, nodal skin eruptions, dischromic _patches,
2,Fungal infection,itching, nodal skin eruptions, dischromic _patches,
3,Fungal infection,itching, skin rash, dischromic _patches,
4,Fungal infection,itching, skin rash, nodal skin eruptions,
5,Fungal infection, skin rash, nodal skin eruptions, dischromic _patches,
6,Fungal infection,itching, nodal skin eruptions, dischromic _patches,
7,Fungal infection,itching, skin rash, dischromic _patches,
8,Fungal infection,itching, skin rash, nodal skin eruptions,
9,Fungal infection,itching, skin rash, nodal skin eruptions, dischromic _patches
10,typhoid, continuous sneezing, shivering, chills, watering_from_eyes
11,typhoid, shivering, chills, watering_from_eyes,
12,typhoid, continuous sneezing, chills, watering_from_eyes,
13,typhoid, continuous sneezing, shivering, watering_from_eyes,
14,typhoid, continuous sneezing, shivering, chills,
15,typhoid, shivering, chills, watering_from_eyes,
16,typhoid, continuous sneezing, chills, watering_from_eyes,
17,typhoid, continuous sneezing, shivering, watering_from_eyes,
18,typhoid, continuous sneezing, shivering, chills,
19,typhoid, continuous sneezing, shivering, chills, watering_from_eyes
20,GERD, stomach pain, acidity, ulcers on tongue, vomiting
21,GERD, stomach pain, ulcers on tongue, vomiting, cough
22,GERD, stomach pain, acidity, vomiting, cough
23,GERD, stomach pain, acidity, ulcers on tongue, cough
24,GERD, stomach pain, acidity, ulcers on tongue, vomiting
25,GERD, stomach pain, acidity, ulcers on tongue, vomiting
26,GERD, acidity, ulcers on tongue, vomiting, cough
27,GERD, stomach pain, ulcers on tongue, vomiting, cough
28,GERD, stomach pain, acidity, vomiting, cough
29,GERD, stomach pain, acidity, ulcers on tongue, cough
30,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
31,Chronic cholestasis, vomiting, yellowish skin, nausea, loss of appetite
32,Chronic cholestasis,itching, yellowish skin, nausea, loss of appetite
33,Chronic cholestasis,itching, vomiting, nausea, loss of appetite
34,Chronic cholestasis,itching, vomiting, yellowish skin, loss of appetite
